task,method,policy_id,check,passed,confirmed_optimizer_updates,optimizer_update_upper_bound,uncertainty_upper_bound
unstack_sort,APPL_5_5_high,red_place_to_blue_entry__h02,runs/exp2/M1_scaleup/unstack_sort/policies/red_place_to_blue_entry/heuristic_02/checks/00,True,2,2,0
unstack_sort,APPL_5_5_high,red_place_to_blue_entry__h03,runs/exp2/M1_scaleup/unstack_sort/policies/red_place_to_blue_entry/heuristic_03/checks/00,True,2,2,0
unstack_sort,APPL_5_5_high,blue_acquire_transport__h01,runs/exp2/M1_scaleup/unstack_sort/policies/blue_acquire_transport/heuristic_01/checks/00,True,2,2,0
unstack_sort,APPL_5_5_high,blue_acquire_transport__h02,runs/exp2/M1_scaleup/unstack_sort/policies/blue_acquire_transport/heuristic_02/checks/00,True,2,2,0
unstack_sort,APPL_5_5_high,blue_acquire_transport__h03,runs/exp2/M1_scaleup/unstack_sort/policies/blue_acquire_transport/heuristic_03/checks/00,True,2,2,0
unstack_sort,APPL_5_5_high,blue_place_release_retreat__h01,runs/exp2/M1_scaleup/unstack_sort/policies/blue_place_release_retreat/heuristic_01/checks/00,True,2,2,0
unstack_sort,APPL_5_5_high,blue_place_release_retreat__h02,runs/exp2/M1_scaleup/unstack_sort/policies/blue_place_release_retreat/heuristic_02/checks/00,True,2,2,0
unstack_sort,APPL_5_5_high,blue_place_release_retreat__h03,runs/exp2/M1_scaleup/unstack_sort/policies/blue_place_release_retreat/heuristic_03/checks/00,False,0,2,2
unstack_sort,APPL_5_5_high,blue_place_release_retreat__h03,runs/exp2/M1_scaleup/unstack_sort/policies/blue_place_release_retreat/heuristic_03/checks/01,True,2,2,0
unstack_sort,APPL_6_xhigh,acquire_lift__h01,runs/exp2/M1_astra_xhigh/unstack_sort/policies/acquire_lift/heuristic_01/checks/00,True,2,2,0
unstack_sort,APPL_6_xhigh,acquire_lift__h02,runs/exp2/M1_astra_xhigh/unstack_sort/policies/acquire_lift/heuristic_02/checks/00,True,2,2,0
unstack_sort,APPL_6_xhigh,acquire_lift__h03,runs/exp2/M1_astra_xhigh/unstack_sort/policies/acquire_lift/heuristic_03/checks/00,True,2,2,0
unstack_sort,APPL_6_xhigh,carry_place_clear__h01,runs/exp2/M1_astra_xhigh/unstack_sort/policies/carry_place_clear/heuristic_01/checks/00,False,0,2,2
unstack_sort,APPL_6_xhigh,carry_place_clear__h01,runs/exp2/M1_astra_xhigh/unstack_sort/policies/carry_place_clear/heuristic_01/checks/01,True,2,2,0
unstack_sort,APPL_6_xhigh,carry_place_clear__h02,runs/exp2/M1_astra_xhigh/unstack_sort/policies/carry_place_clear/heuristic_02/checks/00,True,2,2,0
