task,condition,method,seed,success,physical_steps,elapsed_seconds,inference_chunks,inference_seconds,policy_invocations,source
drawer_exchange,OOD,naive_DP,6424,False,5000,807.2979753210093,625,768.0314695859561,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6424/result.json
drawer_exchange,OOD,naive_DP,6425,False,5000,797.5466543700313,625,758.1739217693685,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6425/result.json
drawer_exchange,OOD,naive_DP,6426,False,5000,838.963306374033,625,795.3864465552033,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6426/result.json
drawer_exchange,OOD,naive_DP,6427,False,5000,867.9985818100395,625,821.3516731762793,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6427/result.json
drawer_exchange,OOD,naive_DP,6428,False,5000,827.3094834910007,625,784.3460606835433,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6428/result.json
drawer_exchange,OOD,naive_DP,6429,False,5000,713.4949108780129,625,681.7796722544008,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6429/result.json
drawer_exchange,OOD,APPL_5_5_high,6400,True,1688,622.3765463250456,,,15,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6400/result.json
drawer_exchange,OOD,APPL_5_5_high,6401,True,1308,655.5409952520276,,,21,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6401/result.json
drawer_exchange,OOD,APPL_5_5_high,6402,False,1804,716.8409958929988,,,16,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6402/result.json
drawer_exchange,OOD,APPL_5_5_high,6403,True,1805,901.598878928984,,,26,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6403/result.json
drawer_exchange,OOD,APPL_5_5_high,6404,False,1238,597.9681502520107,,,15,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6404/result.json
drawer_exchange,OOD,APPL_5_5_high,6405,True,1067,434.1143402880407,,,8,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6405/result.json
drawer_exchange,OOD,APPL_5_5_high,6406,True,3492,1624.698872087989,,,42,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6406/result.json
drawer_exchange,OOD,APPL_5_5_high,6407,False,1000,378.58233410603134,,,4,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6407/result.json
drawer_exchange,OOD,APPL_5_5_high,6408,False,3049,1123.278699262999,,,21,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6408/result.json
