completed,condition,episode_root,first_goals,first_success,method,reused_original_result,seed,selected_attempt,status,steps,success,success_by_1500,success_by_3000,success_by_5000,task,original_episode_root
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20302,{},,naive_DP,True,20302,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20303,{},,naive_DP,True,20303,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20304,{},,naive_DP,True,20304,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20305,{},,naive_DP,True,20305,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20306,"{""red_at_goal"": 1148}",,naive_DP,True,20306,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20307,{},,naive_DP,True,20307,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20308,{},,naive_DP,True,20308,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20309,{},,naive_DP,True,20309,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20310,{},,naive_DP,True,20310,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20311,{},,naive_DP,True,20311,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20312,{},,naive_DP,True,20312,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20313,{},,naive_DP,True,20313,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20314,{},,naive_DP,True,20314,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20315,{},,naive_DP,True,20315,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20316,{},,naive_DP,True,20316,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20317,{},,naive_DP,True,20317,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20318,{},,naive_DP,True,20318,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20319,{},,naive_DP,True,20319,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20320,{},,naive_DP,True,20320,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20321,{},,naive_DP,True,20321,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20322,{},,naive_DP,True,20322,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20323,{},,naive_DP,True,20323,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20324,{},,naive_DP,True,20324,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20325,{},,naive_DP,True,20325,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20326,{},,naive_DP,True,20326,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20327,{},,naive_DP,True,20327,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20328,{},,naive_DP,True,20328,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20329,"{""red_at_goal"": 297}",,naive_DP,True,20329,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/APPL/ID/20300,"{""red_at_goal"": 257}",,APPL_5_5_high,True,20300,original,agent_finished,1776,False,False,False,False,tray_pack,
