stage,task,method,policy_id,model,effort,source_request,source_request_sha256,bundled_request_contract,selected_contract_sha256
policy_design,buffer_swap,APPL_6_xhigh,buffer_red__h03,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/buffer_swap/policies/buffer_red/heuristic_03/design/api/0001.request.json,f2e854972a7d813796a94f124b2b0e4e0329ff40351cbb71133931863832391c,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,buffer_swap,APPL_6_xhigh,transfer_blue__h01,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/buffer_swap/policies/transfer_blue/heuristic_01/design/api/0001.request.json,a9d5b106f257462c02a66e063101006f02224d666fd002a535b163bd8e7409c8,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,buffer_swap,APPL_6_xhigh,transfer_blue__h02,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/buffer_swap/policies/transfer_blue/heuristic_02/design/api/0001.request.json,f30fe41b5fb311867882db96233a77ad3edf3422ee05f2700a97bd5d3e9f4811,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,buffer_swap,APPL_6_xhigh,transfer_blue__h03,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/buffer_swap/policies/transfer_blue/heuristic_03/design/api/0001.request.json,9239b44e99fb6d5a18d5e25d12ba5f40691233e23551f130c0fc1fd266182f3c,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,buffer_swap,APPL_6_xhigh,finish_red__h01,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/buffer_swap/policies/finish_red/heuristic_01/design/api/0001.request.json,c5c39131649ba06897c6de2d090beb58c9ff0f1c37a9d3b6c7565bd2d8cf1cc2,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,buffer_swap,APPL_6_xhigh,finish_red__h02,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/buffer_swap/policies/finish_red/heuristic_02/design/api/0001.request.json,7ae50cb9541f85ce8be13e20ae787838719c48bd9b0497623b44d41df3f6b84f,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,buffer_swap,APPL_6_xhigh,finish_red__h03,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/buffer_swap/policies/finish_red/heuristic_03/design/api/0001.request.json,f1ffa7249b3dbf439f7507e10db4ff504ca6417603baa1fb8c43e13625c9c3ed,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,unstack_sort,SinglePrior_6_xhigh,SinglePrior_6_xhigh,gpt-6-astra,xhigh,runs/exp2/single_policy_astra_xhigh/unstack_sort/policy/design/api/0001.request.json,585bacadd9193f85cde5a5b2535afa37257685aa2492d2e9b499fb74bcc1a11d,prompts/4507f4af8c10eb8053d42145ce636c8b0d11e5a7e5d846d7b930579ef185c9d8.json,4507f4af8c10eb8053d42145ce636c8b0d11e5a7e5d846d7b930579ef185c9d8
policy_design,unstack_sort,APPL_5_5_high,red_unstack_lift__h01,gpt-5.5,high,runs/exp2/M1_scaleup/unstack_sort/policies/red_unstack_lift/heuristic_01/design/api/0001.request.json,99cb96978bf0b27ab5e387827e89262bd007bb7516243d33a502c1a0831cfc66,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,unstack_sort,APPL_5_5_high,red_unstack_lift__h02,gpt-5.5,high,runs/exp2/M1_scaleup/unstack_sort/policies/red_unstack_lift/heuristic_02/design/api/0001.request.json,e44c5d8456f6353b4d94d646405d4dad272166a655adfe9a5a8383278df0cd0a,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
